"","Study","Authors","Year","Source","City_Region","Country","Climate","Number_Participants","Male","Female","Age","Occupation","Anthropometric_Data","Health_Status","Clothing_Insulation","Clothing_Insulation2","Measure","Measure_Type","Metric","SA","TSLow","TSHigh","TLow","THigh","PLow","PHigh","DifT","AvgT","DifTS","AvgTS","Lamb","Hancock","Complexity","Equation"
"19","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Mental redirection","Spatial Memory","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,48.5,49.1,8.4,31.3,2.2,1.16666666666667,0.147275405007364,"Cognitive","C","Absolute"
"20","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Grammatical reasoning","Grammatical Reasoning","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,8.3,9.1,8.4,31.3,2.2,1.16666666666667,1.14744693057946,"Cognitive","C","Absolute"
"21","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Stroop","Inhibition","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,24,23.3,8.4,31.3,2.2,1.16666666666667,-0.347222222222222,"Perceptual","S","Absolute"
"22","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Addition & subtraction","Mathematical Reasoning","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,21.1,20.2,8.4,31.3,2.2,1.16666666666667,-0.507786052809751,"Cognitive","C","Absolute"
"23","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Multiplication","Mathematical Reasoning","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,5.7,6.1,8.4,31.3,2.2,1.16666666666667,0.835421888053466,"Cognitive","C","Absolute"
"24","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Visual reaction time","Sustained Attention","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,92.9,94.5,8.4,31.3,2.2,1.16666666666667,0.205033574247782,"Psychomotor","S","Absolute"
"25","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Visual learning memory","Recognition Memory","RT","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,90.5,90.2,8.4,31.3,2.2,1.16666666666667,0.0394632991318071,"Perceptual","S","Absolute"
"26","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Stroop","Inhibition","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,27.6,27.9,8.4,31.3,2.2,1.16666666666667,0.129399585921324,"Perceptual","S","Absolute"
"27","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Calculation","Mathematical Reasoning","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,15.3,14.8,8.4,31.3,2.2,1.16666666666667,-0.389044506691566,"Cognitive","C","Absolute"
"28","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"d2 test","Visual Searching","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,644,634,8.4,31.3,2.2,1.16666666666667,-0.184856551316179,"Perceptual","S","Absolute"
"29","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Tsai-Partington","Visual Searching","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,13.6,13.8,8.4,31.3,2.2,1.16666666666667,0.175070028011205,"Perceptual","S","Absolute"
"30","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Tsai-Partington","Visual Searching","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,1.7,1.3,8.4,31.3,2.2,1.16666666666667,-2.80112044817927,"Perceptual","S","Absolute"
"31","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","Beijing","China","Continental",21,12,9,21.6714285714286,"NA","YES","NO",1.15,1.15,"Icon matching","Visual Searching","RT","Speed",-2.63,-1.485,16.2,17.9,12.79,11.72,1.7,17.05,1.145,-2.0575,4.92112403992089,"Perceptual","S","Absolute"
"32","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","Beijing","China","Continental",21,12,9,21.6714285714286,"NA","YES","NO",1.15,1.15,"Icon matching","Visual Searching","RT","Speed",-1.485,-1.21,17.9,20,11.72,11.45,2.1,18.95,0.275,-1.3475,1.09702584105315,"Perceptual","S","Absolute"
"33","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","Beijing","China","Continental",21,12,9,21.6714285714286,"NA","YES","NO",1.15,1.15,"Icon matching","Visual Searching","RT","Speed",-1.21,-0.27,20,22.3,11.45,12.23,2.3,21.15,0.94,-0.74,-2.9618378583634,"Perceptual","S","Absolute"
"34","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","Beijing","China","Continental",21,12,9,21.6714285714286,"NA","YES","NO",1.15,1.15,"Icon matching","Visual Searching","RT","Speed",-0.27,0.075,22.3,24.1,12.23,12.35,1.8,23.2,0.345,-0.0975,-0.545107658762602,"Perceptual","S","Absolute"
"35","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","Beijing","China","Continental",21,12,9,21.6714285714286,"NA","YES","NO",1.15,1.15,"Icon matching","Visual Searching","RT","Speed",0.075,0.6,24.1,26.2,12.35,14.23,2.1,25.15,0.525,0.3375,-7.24889145941779,"Perceptual","S","Absolute"
"36","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","Beijing","China","Continental",21,12,9,21.6714285714286,"NA","YES","NO",1.15,1.15,"Icon matching","Visual Searching","RT","Speed",0.6,1.445,26.2,27.7,14.23,12.99,1.5,26.95,0.845,1.0225,5.8093230264699,"Perceptual","S","Absolute"
"37","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","Beijing","China","Continental",21,12,9,21.6714285714286,"NA","YES","NO",1.15,1.15,"Addition","Mathematical Reasoning","RT","Speed",-2.63,-1.485,16.2,17.9,2.09,2,1.7,17.05,1.145,-2.0575,2.53307064452575,"Cognitive","C","Absolute"
"38","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","Beijing","China","Continental",21,12,9,21.6714285714286,"NA","YES","NO",1.15,1.15,"Addition","Mathematical Reasoning","RT","Speed",-1.485,-1.21,17.9,20,2,2.07,2.1,18.95,0.275,-1.3475,-1.66666666666666,"Cognitive","C","Absolute"
"39","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","Beijing","China","Continental",21,12,9,21.6714285714286,"NA","YES","NO",1.15,1.15,"Addition","Mathematical Reasoning","RT","Speed",-1.21,-0.27,20,22.3,2.07,1.95,2.3,21.15,0.94,-0.74,2.52047889098929,"Cognitive","C","Absolute"
"40","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","Beijing","China","Continental",21,12,9,21.6714285714286,"NA","YES","NO",1.15,1.15,"Addition","Mathematical Reasoning","RT","Speed",-0.27,0.075,22.3,24.1,1.95,2.13,1.8,23.2,0.345,-0.0975,-5.12820512820512,"Cognitive","C","Absolute"
"41","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","Beijing","China","Continental",21,12,9,21.6714285714286,"NA","YES","NO",1.15,1.15,"Addition","Mathematical Reasoning","RT","Speed",0.075,0.6,24.1,26.2,2.13,2.07,2.1,25.15,0.525,0.3375,1.34138162307177,"Cognitive","C","Absolute"
"42","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","Beijing","China","Continental",21,12,9,21.6714285714286,"NA","YES","NO",1.15,1.15,"Addition","Mathematical Reasoning","RT","Speed",0.6,1.445,26.2,27.7,2.07,2.26,1.5,26.95,0.845,1.0225,-6.11916264090177,"Cognitive","C","Absolute"
"43","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","Beijing","China","Continental",21,12,9,21.6714285714286,"NA","YES","NO",1.15,1.15,"Text memory & typing","Working Memory","RT","Speed",-2.63,-1.485,16.2,17.9,2.04,1.93,1.7,17.05,1.145,-2.0575,3.17185697808536,"Cognitive","C","Absolute"
"44","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","Beijing","China","Continental",21,12,9,21.6714285714286,"NA","YES","NO",1.15,1.15,"Text memory & typing","Working Memory","RT","Speed",-1.485,-1.21,17.9,20,1.93,1.93,2.1,18.95,0.275,-1.3475,0,"Cognitive","C","Absolute"
"45","17-Ge","Geng, Ji, Lin, Zhu",2017,"Building and Environment","Beijing","China","Continental",21,12,9,21.6714285714286,"NA","YES","NO",1.15,1.15,"Text memory & typing","Working Memory","RT","Speed",-1.21,-0.27,20,22.3,1.93,1.97,2.3,21.15,0.94,-0.74,-0.901103852218969,"Cognitive","C","Absolute"
