"","Study","Authors","Year","Source","City_Region","Country","Climate","Number_Participants","Male","Female","Age","Occupation","Anthropometric_Data","Health_Status","Clothing_Insulation","Clothing_Insulation2","Measure","Measure_Type","Metric","SA","TSLow","TSHigh","TLow","THigh","PLow","PHigh","DifT","AvgT","DifTS","AvgTS","Lamb","Hancock","Complexity","Equation"
"79","10-Th","Tham, Willem",2010,"Building and Environment","Singapore","Singapore","Tropical",96,48,48,21.5,"Students","YES","YES",NA,NA,"Text typing","Simulated Work","NOE","Speed",NA,NA,23.2,26,188.2,189.4,2.8,24.6,NA,NA,0.227721269166543,"Cognitive","C","Absolute"
"80","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Letter search","Visual Searching","RT","Speed",NA,NA,19.5,25.4,71.31,64.83,5.9,22.45,NA,NA,1.54018382379156,"Perceptual","S","Absolute"
"81","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Letter search","Visual Searching","RT","Speed",NA,NA,25.4,27.2,64.83,65.83,1.8,26.3,NA,NA,-0.856942087853703,"Perceptual","S","Absolute"
"82","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Letter search","Visual Searching","RT","Speed",NA,NA,27.2,32.2,65.83,68.55,5,29.7,NA,NA,-0.826370955491416,"Perceptual","S","Absolute"
"83","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Overlapping","Visual Searching","RT","Speed",NA,NA,19.5,25.4,222.38,220.23,5.9,22.45,NA,NA,0.163866705486563,"Perceptual","S","Absolute"
"84","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Overlapping","Visual Searching","RT","Speed",NA,NA,25.4,27.2,220.23,211.29,1.8,26.3,NA,NA,2.25521802963568,"Perceptual","S","Absolute"
"85","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Overlapping","Visual Searching","RT","Speed",NA,NA,27.2,32.2,211.29,204.13,5,29.7,NA,NA,0.677741492735103,"Perceptual","S","Absolute"
"86","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Number calculation","Mathematical Reasoning","RT","Speed",NA,NA,19.5,25.4,178.21,163.11,5.9,22.45,NA,NA,1.4361270601528,"Cognitive","C","Absolute"
"87","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Number calculation","Mathematical Reasoning","RT","Speed",NA,NA,25.4,27.2,163.11,166.66,1.8,26.3,NA,NA,-1.2091363020184,"Cognitive","C","Absolute"
"88","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Number calculation","Mathematical Reasoning","RT","Speed",NA,NA,27.2,32.2,166.66,156.24,5,29.7,NA,NA,1.25045001800072,"Cognitive","C","Absolute"
"89","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Conditional reasoning","Deductive Reasoning","RT","Speed",NA,NA,19.5,25.4,149.23,141.13,5.9,22.45,NA,NA,0.919976784783356,"Cognitive","C","Absolute"
"90","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Conditional reasoning","Deductive Reasoning","RT","Speed",NA,NA,25.4,27.2,141.13,147.1,1.8,26.3,NA,NA,-2.35007912326696,"Cognitive","C","Absolute"
"91","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Conditional reasoning","Deductive Reasoning","RT","Speed",NA,NA,27.2,32.2,147.1,142.75,5,29.7,NA,NA,0.591434398368456,"Cognitive","C","Absolute"
"92","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Spatial image","Spatial Reasoning","RT","Speed",NA,NA,19.5,25.4,161.29,143.05,5.9,22.45,NA,NA,1.91674959621106,"Cognitive","C","Absolute"
"93","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Spatial image","Spatial Reasoning","RT","Speed",NA,NA,25.4,27.2,143.05,147.35,1.8,26.3,NA,NA,-1.66996776573847,"Cognitive","C","Absolute"
"94","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Spatial image","Spatial Reasoning","RT","Speed",NA,NA,27.2,32.2,147.35,146.45,5,29.7,NA,NA,0.122158126908721,"Cognitive","C","Absolute"
"95","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Picture recognition","Recognition Memory","RT","Speed",NA,NA,19.5,25.4,19.93,19.55,5.9,22.45,NA,NA,0.323164975720104,"Perceptual","S","Absolute"
"96","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Picture recognition","Recognition Memory","RT","Speed",NA,NA,25.4,27.2,19.55,18.83,1.8,26.3,NA,NA,2.0460358056266,"Perceptual","S","Absolute"
"97","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Picture recognition","Recognition Memory","RT","Speed",NA,NA,27.2,32.2,18.83,19.13,5,29.7,NA,NA,-0.318640467339353,"Perceptual","S","Absolute"
"98","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Symbol-digit modalities","Short-Term Memory","RT","Speed",NA,NA,19.5,25.4,145.75,142.3,5.9,22.45,NA,NA,0.401197778876064,"Cognitive","C","Absolute"
"99","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Symbol-digit modalities","Short-Term Memory","RT","Speed",NA,NA,25.4,27.2,142.3,146.01,1.8,26.3,NA,NA,-1.44842664168032,"Cognitive","C","Absolute"
"100","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Symbol-digit modalities","Short-Term Memory","RT","Speed",NA,NA,27.2,32.2,146.01,136.1,5,29.7,NA,NA,1.35744127114581,"Cognitive","C","Absolute"
"101","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Visual choice reaction time","Sustained Attention","RT","Speed",NA,NA,19.5,25.4,47.13,46.91,5.9,22.45,NA,NA,0.0791176227312144,"Psychomotor","S","Absolute"
"102","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Visual choice reaction time","Sustained Attention","RT","Speed",NA,NA,25.4,27.2,46.91,46.55,1.8,26.3,NA,NA,0.426348326582817,"Psychomotor","S","Absolute"
"103","09-Lan","Lan, Lian, Pan, Ye",2009,"Building and Environment","NA","China","Continental",24,12,12,25,"Students","NO","NO",0.6,0.6,"Visual choice reaction time","Sustained Attention","RT","Speed",NA,NA,27.2,32.2,46.55,46.53,5,29.7,NA,NA,0.00859291084854823,"Psychomotor","S","Absolute"
"104","09-LL","Lan, Lian",2009,"Building and Environment","NA","China","Continental",22,15,6,NA,"Students","NO","NO",1.2,1.2,"Letter search","Visual Searching","RT","Speed",NA,NA,18,21.1,83.7,81.9,3.1,19.55,NA,NA,0.693721817551161,"Perceptual","S","Absolute"
"105","09-LL","Lan, Lian",2009,"Building and Environment","NA","China","Continental",22,15,6,NA,"Students","NO","NO",1.2,1.2,"Letter search","Visual Searching","RT","Speed",NA,NA,21.1,28.2,81.9,82.3,7.1,24.65,NA,NA,-0.0687888011831659,"Perceptual","S","Absolute"
"106","09-LL","Lan, Lian",2009,"Building and Environment","NA","China","Continental",22,15,6,NA,"Students","NO","NO",1.2,1.2,"Overlapping","Visual Searching","RT","Speed",NA,NA,18,21.1,189.4,188.5,3.1,19.55,NA,NA,0.153285417447288,"Perceptual","S","Absolute"
"107","09-LL","Lan, Lian",2009,"Building and Environment","NA","China","Continental",22,15,6,NA,"Students","NO","NO",1.2,1.2,"Overlapping","Visual Searching","RT","Speed",NA,NA,21.1,28.2,188.5,200.6,7.1,24.65,NA,NA,-0.90409833003325,"Perceptual","S","Absolute"
"108","09-LL","Lan, Lian",2009,"Building and Environment","NA","China","Continental",22,15,6,NA,"Students","NO","NO",1.2,1.2,"Picture recognition","Recognition Memory","RT","Speed",NA,NA,18,21.1,30.2,29.2,3.1,19.55,NA,NA,1.0681478316599,"Perceptual","S","Absolute"
"109","09-LL","Lan, Lian",2009,"Building and Environment","NA","China","Continental",22,15,6,NA,"Students","NO","NO",1.2,1.2,"Picture recognition","Recognition Memory","RT","Speed",NA,NA,21.1,28.2,29.2,30,7.1,24.65,NA,NA,-0.38587690526722,"Perceptual","S","Absolute"
"110","09-LL","Lan, Lian",2009,"Building and Environment","NA","China","Continental",22,15,6,NA,"Students","NO","NO",1.2,1.2,"Number calculation","Mathematical Reasoning","RT","Speed",NA,NA,18,21.1,817.9,825.6,3.1,19.55,NA,NA,-0.30368883332216,"Cognitive","C","Absolute"
"111","09-LL","Lan, Lian",2009,"Building and Environment","NA","China","Continental",22,15,6,NA,"Students","NO","NO",1.2,1.2,"Number calculation","Mathematical Reasoning","RT","Speed",NA,NA,21.1,28.2,825.6,857.7,7.1,24.65,NA,NA,-0.547617097936457,"Cognitive","C","Absolute"
"112","09-LL","Lan, Lian",2009,"Building and Environment","NA","China","Continental",22,15,6,NA,"Students","NO","NO",1.2,1.2,"Event sequence","Verbal Comprehension","RT","Speed",NA,NA,18,21.1,331.9,318.7,3.1,19.55,NA,NA,1.28293597955078,"Cognitive","C","Absolute"
"113","09-LL","Lan, Lian",2009,"Building and Environment","NA","China","Continental",22,15,6,NA,"Students","NO","NO",1.2,1.2,"Event sequence","Verbal Comprehension","RT","Speed",NA,NA,21.1,28.2,318.7,335.5,7.1,24.65,NA,NA,-0.742452834357889,"Cognitive","C","Absolute"
"114","09-LL","Lan, Lian",2009,"Building and Environment","NA","China","Continental",22,15,6,NA,"Students","NO","NO",1.2,1.2,"Conditional reasoning","Deductive Reasoning","RT","Speed",NA,NA,18,21.1,337.2,338.5,3.1,19.55,NA,NA,-0.124363831171317,"Cognitive","C","Absolute"
"115","09-LL","Lan, Lian",2009,"Building and Environment","NA","China","Continental",22,15,6,NA,"Students","NO","NO",1.2,1.2,"Conditional reasoning","Deductive Reasoning","RT","Speed",NA,NA,21.1,28.2,338.5,342,7.1,24.65,NA,NA,-0.14563005804398,"Cognitive","C","Absolute"
"116","09-LL","Lan, Lian",2009,"Building and Environment","NA","China","Continental",22,15,6,NA,"Students","NO","NO",1.2,1.2,"Reading comprehension","Verbal Comprehension","RT","Speed",NA,NA,18,21.1,166.6,165.1,3.1,19.55,NA,NA,0.29043875614762,"Cognitive","C","Absolute"
"117","09-LL","Lan, Lian",2009,"Building and Environment","NA","China","Continental",22,15,6,NA,"Students","NO","NO",1.2,1.2,"Reading comprehension","Verbal Comprehension","RT","Speed",NA,NA,21.1,28.2,165.1,152.2,7.1,24.65,NA,NA,1.10048540790473,"Cognitive","C","Absolute"
"118","09-LL","Lan, Lian",2009,"Building and Environment","NA","China","Continental",22,15,6,NA,"Students","NO","NO",1.2,1.2,"Spatial image","Spatial Reasoning","RT","Speed",NA,NA,18,21.1,156.1,143.7,3.1,19.55,NA,NA,2.5624599615631,"Cognitive","C","Absolute"
"119","09-LL","Lan, Lian",2009,"Building and Environment","NA","China","Continental",22,15,6,NA,"Students","NO","NO",1.2,1.2,"Spatial image","Spatial Reasoning","RT","Speed",NA,NA,21.1,28.2,143.7,168.4,7.1,24.65,NA,NA,-2.42092779362326,"Cognitive","C","Absolute"
"120","09-LL","Lan, Lian",2009,"Building and Environment","NA","China","Continental",22,15,6,NA,"Students","NO","NO",1.2,1.2,"Graphic abstracting","Spatial Reasoning","RT","Speed",NA,NA,18,21.1,209.5,178.7,3.1,19.55,NA,NA,4.74247440141658,"Cognitive","C","Absolute"
"121","09-LL","Lan, Lian",2009,"Building and Environment","NA","China","Continental",22,15,6,NA,"Students","NO","NO",1.2,1.2,"Graphic abstracting","Spatial Reasoning","RT","Speed",NA,NA,21.1,28.2,178.7,209.1,7.1,24.65,NA,NA,-2.39602134350592,"Cognitive","C","Absolute"
"122","09-LL","Lan, Lian",2009,"Building and Environment","NA","China","Continental",22,15,6,NA,"Students","NO","NO",1.2,1.2,"Visual choice reaction time","Sustained Attention","RT","Speed",NA,NA,18,21.1,141.3,140.4,3.1,19.55,NA,NA,0.205465379083626,"Psychomotor","S","Absolute"
"123","09-LL","Lan, Lian",2009,"Building and Environment","NA","China","Continental",22,15,6,NA,"Students","NO","NO",1.2,1.2,"Visual choice reaction time","Sustained Attention","RT","Speed",NA,NA,21.1,28.2,140.4,144.8,7.1,24.65,NA,NA,-0.441394807591991,"Psychomotor","S","Absolute"
"124","09-LL","Lan, Lian",2009,"Building and Environment","NA","China","Continental",22,15,6,NA,"Students","NO","NO",1.2,1.2,"Hand-eye coordination","Visual Motor Tracking","RT","Speed",NA,NA,18,21.1,60.1,58.8,3.1,19.55,NA,NA,0.697761794858034,"Psychomotor","S","Absolute"
"125","09-LL","Lan, Lian",2009,"Building and Environment","NA","China","Continental",22,15,6,NA,"Students","NO","NO",1.2,1.2,"Hand-eye coordination","Visual Motor Tracking","RT","Speed",NA,NA,21.1,28.2,58.8,59.3,7.1,24.65,NA,NA,-0.119766216345693,"Psychomotor","S","Absolute"
"126","05-Th.2","Tham, Willem",2005,"ASHRAE Transactions","Singapore","Singapore","Tropical",26,2,24,33,"Call center officers","NO","YES",NA,0.67,"Talk time","Existing Outcome Measures","T","Speed",-0.46,0.17,22.5,24.5,167.741935483871,177.204301075269,2,23.5,0.63,-0.145,-2.82051282051286,"Cognitive","C","Absolute"
"127","05-Th.2","Tham, Willem",2005,"ASHRAE Transactions","Singapore","Singapore","Tropical",26,2,24,33,"Call center officers","NO","YES",NA,0.67,"Talk time","Existing Outcome Measures","T","Speed",-0.46,0.17,22.9,24.4,161.935483870968,173.978494623656,1.5,23.65,0.63,-0.145,-4.95794599380249,"Cognitive","C","Absolute"
"128","05-Th.1","Tham, Willem",2005,"ASHRAE Transactions","Singapore","Singapore","Tropical",27,NA,NA,NA,"Call center officers","NO","NO",NA,0.58,"Talk time","Existing Outcome Measures","T","Speed",-0.55,0.1,21.9,24.8,133.978494623656,143.118279569892,2.9,23.35,0.65,-0.225,-2.35235512259907,"Cognitive","C","Absolute"
"129","05-Th.1","Tham, Willem",2005,"ASHRAE Transactions","Singapore","Singapore","Tropical",27,NA,NA,NA,"Call center officers","NO","NO",NA,0.58,"Talk time","Existing Outcome Measures","T","Speed",-0.55,0.1,22,24.5,139.89247311828,132.903225806452,2.5,23.25,0.65,-0.225,1.99846272098386,"Cognitive","C","Absolute"
"130","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","Copenhagen","Denmark","Temperate",30,16,14,NA,"NA","NO","YES",NA,0.42,"Tsai-Partington","Visual Searching","NOE","Speed",-0.13,1.13,22.2,25.9,13.5,13.3,3.7,24.05,1.26,0.5,-0.400400400400399,"Perceptual","S","Absolute"
"131","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","Copenhagen","Denmark","Temperate",30,16,14,NA,"NA","NO","YES",NA,0.42,"Tsai-Partington","Visual Searching","NOE","Speed",1.13,1.99,25.9,29.9,13.3,13,4,27.9,0.86,1.56,-0.563909774436091,"Perceptual","S","Absolute"
"132","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","Copenhagen","Denmark","Temperate",30,16,14,NA,"NA","NO","YES",NA,0.42,"Addition","Mathematical Reasoning","NOE","Speed",-0.13,1.13,22.2,25.9,229.1,225.6,3.7,24.05,1.26,0.5,-0.412896528130051,"Cognitive","C","Absolute"
"133","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","Copenhagen","Denmark","Temperate",30,16,14,NA,"NA","NO","YES",NA,0.42,"Addition","Mathematical Reasoning","NOE","Speed",1.13,1.99,25.9,29.9,225.6,227.2,4,27.9,0.86,1.56,0.177304964539006,"Cognitive","C","Absolute"
"134","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","Copenhagen","Denmark","Temperate",30,16,14,NA,"NA","NO","YES",NA,0.42,"Proofreading","Verbal Comprehension","NOE","Speed",-0.13,1.13,22.2,25.9,11.6,11.5,3.7,24.05,1.26,0.5,-0.232991612301956,"Cognitive","C","Absolute"
"135","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","Copenhagen","Denmark","Temperate",30,16,14,NA,"NA","NO","YES",NA,0.42,"Proofreading","Verbal Comprehension","NOE","Speed",1.13,1.99,25.9,29.9,11.5,11.3,4,27.9,0.86,1.56,-0.434782608695651,"Cognitive","C","Absolute"
"136","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","Copenhagen","Denmark","Temperate",30,16,14,NA,"NA","NO","YES",NA,0.42,"Text typing","Simulated Work","NOE","Speed",-0.13,1.13,22.2,25.9,163.3,164.6,3.7,24.05,1.26,0.5,0.215156981844058,"Cognitive","C","Absolute"
"137","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","Copenhagen","Denmark","Temperate",30,16,14,NA,"NA","NO","YES",NA,0.42,"Text typing","Simulated Work","NOE","Speed",1.13,1.99,25.9,29.9,164.6,162.8,4,27.9,0.86,1.56,-0.273390036452002,"Cognitive","C","Absolute"
"138","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","Copenhagen","Denmark","Temperate",30,16,14,NA,"NA","NO","YES",NA,0.42,"Text typing","Simulated Work","NOE","Speed",-0.13,1.13,22.2,25.9,162.6,154.6,3.7,24.05,1.26,0.5,-1.32974302716,"Cognitive","C","Absolute"
"139","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","Copenhagen","Denmark","Temperate",30,16,14,NA,"NA","NO","YES",NA,0.42,"Text typing","Simulated Work","NOE","Speed",1.13,1.99,25.9,29.9,154.6,159.4,4,27.9,0.86,1.56,0.776196636481244,"Cognitive","C","Absolute"
"140","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","Copenhagen","Denmark","Temperate",30,16,14,NA,"NA","NO","YES",NA,0.42,"Tsai-Partington","Visual Searching","NOE","Speed",-0.03,1.14,22.3,25.8,13.1,14.1,3.5,24.05,1.17,0.555,2.18102508178844,"Perceptual","S","Absolute"
"141","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","Copenhagen","Denmark","Temperate",30,16,14,NA,"NA","NO","YES",NA,0.42,"Tsai-Partington","Visual Searching","NOE","Speed",1.14,2.19,25.8,29.7,14.1,14.9,3.9,27.75,1.05,1.665,1.45480996544827,"Perceptual","S","Absolute"
"142","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","Copenhagen","Denmark","Temperate",30,16,14,NA,"NA","NO","YES",NA,0.42,"Addition","Mathematical Reasoning","NOE","Speed",-0.03,1.14,22.3,25.8,216,227.4,3.5,24.05,1.17,0.555,1.50793650793651,"Cognitive","C","Absolute"
"143","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","Copenhagen","Denmark","Temperate",30,16,14,NA,"NA","NO","YES",NA,0.42,"Addition","Mathematical Reasoning","NOE","Speed",1.14,2.19,25.8,29.7,227.4,220.1,3.9,27.75,1.05,1.665,-0.823128791466524,"Cognitive","C","Absolute"
"144","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","Copenhagen","Denmark","Temperate",30,16,14,NA,"NA","NO","YES",NA,0.42,"Addition","Mathematical Reasoning","NOE","Speed",-0.03,1.14,22.3,25.8,12.2,11.6,3.5,24.05,1.17,0.555,-1.40515222482436,"Cognitive","C","Absolute"
"145","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","Copenhagen","Denmark","Temperate",30,16,14,NA,"NA","NO","YES",NA,0.42,"Addition","Mathematical Reasoning","NOE","Speed",1.14,2.19,25.8,29.7,11.6,11.9,3.9,27.75,1.05,1.665,0.663129973474803,"Cognitive","C","Absolute"
"146","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","Copenhagen","Denmark","Temperate",30,16,14,NA,"NA","NO","YES",NA,0.42,"Text typing","Simulated Work","NOE","Speed",-0.03,1.14,22.3,25.8,163.6,166.8,3.5,24.05,1.17,0.555,0.558854348585403,"Cognitive","C","Absolute"
"147","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","Copenhagen","Denmark","Temperate",30,16,14,NA,"NA","NO","YES",NA,0.42,"Text typing","Simulated Work","NOE","Speed",1.14,2.19,25.8,29.7,166.8,166.9,3.9,27.75,1.05,1.665,0.01537231753059,"Cognitive","C","Absolute"
"148","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","Copenhagen","Denmark","Temperate",30,16,14,NA,"NA","NO","YES",NA,0.42,"Text typing","Simulated Work","NOE","Speed",-0.03,1.14,22.3,25.8,3.3,3,3.5,24.05,1.17,0.555,-2.5974025974026,"Cognitive","C","Absolute"
"149","04-Wi","Witterseh, Wyon, Clausen",2004,"Indoor Air","Copenhagen","Denmark","Temperate",30,16,14,NA,"NA","NO","YES",NA,0.42,"Text typing","Simulated Work","NOE","Speed",1.14,2.19,25.8,29.7,3,3,3.9,27.75,1.05,1.665,0,"Cognitive","C","Absolute"
"150","04-Th","Tham",2004,"Indoor Air","Singapore","Singapore","Tropical",56,0,56,28,"Call center officers","NO","NO",NA,NA,"Talk time","Existing Outcome Measures","T","Speed",NA,NA,22.5,24.5,217.35632183908,223.103448275862,2,23.5,NA,NA,-1.32205182443161,"Cognitive","C","Absolute"
"151","04-Th","Tham",2004,"Indoor Air","Singapore","Singapore","Tropical",56,0,56,28,"Call center officers","NO","NO",NA,NA,"Talk time","Existing Outcome Measures","T","Speed",NA,NA,22.5,24.5,224.827586206897,185.747126436782,2,23.5,NA,NA,8.69120654396728,"Cognitive","C","Absolute"
"152","04-Ta","Tanabe, Nishihara",2004,"Indoor Air","Tokyo","Japan","Temperate",40,20,20,NA,"Students","NO","NO",0.76,0.76,"Choice reaction time","Sustained Attention","NOE","Speed",-0.25,1.15,25.4,27.9,126.4,128.8,2.5,26.65,1.4,0.45,0.759493670886078,"Psychomotor","S","Absolute"
"153","04-Ta","Tanabe, Nishihara",2004,"Indoor Air","Tokyo","Japan","Temperate",40,20,20,NA,"Students","NO","NO",0.76,0.76,"Choice reaction time","Sustained Attention","NOE","Speed",1.15,2.5,27.9,33,128.8,121.2,5.1,30.45,1.35,1.825,-1.15698453294361,"Psychomotor","S","Absolute"
"154","04-Ta","Tanabe, Nishihara",2004,"Indoor Air","Tokyo","Japan","Temperate",40,20,20,NA,"Students","NO","NO",0.76,0.76,"Text typing","Simulated Work","NOE","Speed",-0.25,1.15,25.4,27.9,85.8064516129032,94.8387096774194,2.5,26.65,1.4,0.45,4.21052631578951,"Cognitive","C","Absolute"
"155","04-Ta","Tanabe, Nishihara",2004,"Indoor Air","Tokyo","Japan","Temperate",40,20,20,NA,"Students","NO","NO",0.76,0.76,"Text typing","Simulated Work","NOE","Speed",1.15,2.5,27.9,33,94.8387096774194,94.8387096774194,5.1,30.45,1.35,1.825,0,"Cognitive","C","Absolute"
"156","02-Ni.1","Niemela, Hannula, Rautio, Reijula, Railio",2002,"Energy and Buildings","NA","Finland","Continental",35,1,34,NA,"Call center officers","NO","NO",NA,NA,"Telephone communcations","Existing Outcome Measures","NOE","Speed",NA,NA,23.6,25.2,1.05,0.99,1.6,24.4,NA,NA,-3.57142857142858,"Cognitive","C","Absolute"
"157","02-Ni.2","Niemela, Hannula, Rautio, Reijula, Railio",2003,"Energy and Buildings","NA","Finland","Continental",15,0,15,NA,"Call center officers","NO","NA",NA,NA,"Telephone communcations","Existing Outcome Measures","NOE","Speed",NA,NA,22.6,25.1,1.07333333333333,1,2.5,23.85,NA,NA,-2.73291925465827,"Cognitive","C","Absolute"
"158","62-Gi","Givoni, Rim",1962,"Ergonomics","Haifa","Israel","Temperate",4,NA,NA,NA,"Students","NO","NO",NA,NA,"Multiplication","Mathematical Reasoning","NOE","Speed",NA,NA,24.6,27.9,15,15,3.3,26.25,NA,NA,0,"Cognitive","C","Absolute"
"159","62-Gi","Givoni, Rim",1962,"Ergonomics","Haifa","Israel","Temperate",4,NA,NA,NA,"Students","NO","NO",NA,NA,"Multiplication","Mathematical Reasoning","NOE","Speed",NA,NA,27.9,34.3,15,13.5,6.4,31.1,NA,NA,-1.5625,"Cognitive","C","Absolute"
"160","19-Wa","Wang, Li, Menassa, Kamat",2019,"Building and Environment","Michigan","USA","Continental",15,NA,NA,NA,"Students","NO","YES",NA,0.55,"Addition","Mathematical Reasoning","NOC","Accuracy",NA,NA,21.7,25.2,29.533,29.667,3.5,23.45,NA,NA,0.129637064591184,"Cognitive","C","Absolute"
"161","19-Wa","Wang, Li, Menassa, Kamat",2019,"Building and Environment","Michigan","USA","Continental",15,NA,NA,NA,"Students","NO","YES",NA,0.55,"Addition","Mathematical Reasoning","NOC","Accuracy",NA,NA,25.2,28.6,29.667,27.933,3.4,26.9,NA,NA,-1.71908180806957,"Cognitive","C","Absolute"
"162","19-Wa","Wang, Li, Menassa, Kamat",2019,"Building and Environment","Michigan","USA","Continental",15,NA,NA,NA,"Students","NO","YES",NA,0.55,"Addition","Mathematical Reasoning","NOC","Accuracy",NA,NA,21.7,25.2,15.267,13.733,3.5,23.45,NA,NA,-2.87080444282252,"Cognitive","C","Absolute"
"163","19-Wa","Wang, Li, Menassa, Kamat",2019,"Building and Environment","Michigan","USA","Continental",15,NA,NA,NA,"Students","NO","YES",NA,0.55,"Addition","Mathematical Reasoning","NOC","Accuracy",NA,NA,25.2,28.6,13.733,13,3.4,26.9,NA,NA,-1.56985535057247,"Cognitive","C","Absolute"
"164","19-Wa","Wang, Li, Menassa, Kamat",2019,"Building and Environment","Michigan","USA","Continental",15,NA,NA,NA,"Students","NO","YES",NA,0.55,"Forward digit span","Short-Term Memory","NOC","Accuracy",NA,NA,21.7,25.2,17.867,17.867,3.5,23.45,NA,NA,0,"Cognitive","C","Absolute"
"165","19-Wa","Wang, Li, Menassa, Kamat",2019,"Building and Environment","Michigan","USA","Continental",15,NA,NA,NA,"Students","NO","YES",NA,0.55,"Forward digit span","Short-Term Memory","NOC","Accuracy",NA,NA,25.2,28.6,17.867,17.933,3.4,26.9,NA,NA,0.108645909810724,"Cognitive","C","Absolute"
"166","19-Wa","Wang, Li, Menassa, Kamat",2019,"Building and Environment","Michigan","USA","Continental",15,NA,NA,NA,"Students","NO","YES",NA,0.55,"Forward digit span","Short-Term Memory","NOC","Accuracy",NA,NA,21.7,25.2,11.733,10.667,3.5,23.45,NA,NA,-2.59585296660214,"Cognitive","C","Absolute"
